cell                               inbook  inst%  prem%  sub2s%   p50    gmean
1+0 f=1.00 book8                      1    6.3   11.9    46.8   2190    2081
1+0 f=1.00 book12                     1    8.8   13.3    50.0   2007    1880
1+0 f=1.00 off14                      0   11.0    0.0    37.9   2564    2952
1+0 f=1.00 off40                      0   17.4    0.0    46.6   2159    2630
1+0 f=0.80 book8                      1    6.9   10.7    44.9   2206    2113
1+0 f=0.80 book12                     1   10.1   14.5    51.9   1934    1751
1+0 f=0.80 off14                      0   11.2    0.0    39.4   2570    2920
1+0 f=0.80 off40                      0   17.0    0.0    47.6   2117    2594
1+0 f=0.50 book8                      1    8.0   12.4    61.7   1596    1473
1+0 f=0.50 book12                     1   12.2   18.6    70.4   1280    1150
1+0 f=0.50 off14                      0   14.6    0.0    53.4   1901    2145
1+0 f=0.50 off40                      0   30.8    0.0    69.5   1328    1680
1+0 f=0.33 book8                      1    9.8   13.3    69.3   1263    1097
1+0 f=0.33 book12                     1   17.1   24.4    86.0   1013     743
1+0 f=0.33 off14                      0   29.4    0.0    59.1   1443    1538
1+0 f=0.33 off40                      0   47.0    0.0    73.6   1132    1325
1+0 f=0.17 book8                      1    8.2   24.4   100.0    963     637
1+0 f=0.17 book12                     1   12.2   36.5   100.0    794     464
1+0 f=0.17 off14                      0   40.8    0.0   100.0   1064    1042
1+0 f=0.17 off40                      0   55.0    0.0   100.0    976     986
3+0 f=1.00 book8                      1   26.6    7.6    68.4   1423    1496
3+0 f=1.00 book12                     1    1.3    0.3     4.8   9689    9683
3+0 f=1.00 off14                      0   16.6    0.0    49.1   2025    2680
3+0 f=1.00 off40                      0   14.1    0.0    47.0   2132    2920
3+0 f=0.80 book8                      1    7.3    2.4    35.3   2868    3007
3+0 f=0.80 book12                     1    3.9    1.2    28.1   3245    3482
3+0 f=0.80 off14                      0    5.0    0.0    29.0   3198    3473
3+0 f=0.80 off40                      0    4.3    0.0    23.4   3483    3860
3+0 f=0.50 book8                      1   12.2    3.6    55.2   1795    2039
3+0 f=0.50 book12                     1   13.1    4.5    53.4   1858    2093
3+0 f=0.50 off14                      0   10.2    0.0    43.0   2317    2767
3+0 f=0.50 off40                      0   17.5    0.0    53.4   1859    2346
3+0 f=0.33 book8                      1   12.0    3.9    62.0   1567    1789
3+0 f=0.33 book12                     1   15.5    5.3    65.0   1439    1667
3+0 f=0.33 off14                      0   12.8    0.0    55.0   1799    2163
3+0 f=0.33 off40                      0   22.0    0.0    63.8   1447    1929
3+0 f=0.17 book8                      1   13.7    4.6    72.0   1266    1402
3+0 f=0.17 book12                     1   24.7    8.3    80.0   1082    1157
3+0 f=0.17 off14                      0   14.7    0.0    67.6   1355    1653
3+0 f=0.17 off40                      0   34.4    0.0    80.5   1091    1359
10+0 f=1.00 book8                     1   14.6    0.7    45.7   2180    2322
10+0 f=1.00 book12                    1   10.1    0.6    55.5   1845    2038
10+0 f=1.00 off14                     0   17.1    0.0    51.1   1963    2206
10+0 f=1.00 off40                     0   10.4    0.0    44.4   2219    2378
10+0 f=0.80 book8                     1   24.1    1.7    57.1   1717    1952
10+0 f=0.80 book12                    1   17.7    1.4    63.3   1620    1801
10+0 f=0.80 off14                     0   18.2    0.0    58.1   1765    1994
10+0 f=0.80 off40                     0   18.1    0.0    57.3   1795    1980
10+0 f=0.50 book8                     1   27.8    2.0    72.2   1295    1522
10+0 f=0.50 book12                    1   28.9    2.2    79.8   1168    1447
10+0 f=0.50 off14                     0   29.6    0.0    71.1   1314    1654
10+0 f=0.50 off40                     0   30.4    0.0    80.3   1198    1377
10+0 f=0.33 book8                     1   11.1    0.7    67.8   1463    1650
10+0 f=0.33 book12                    1   12.2    1.4    72.2   1320    1552
10+0 f=0.33 off14                     0    9.0    0.0    61.6   1598    1837
10+0 f=0.33 off40                     0   11.3    0.0    66.8   1412    1686
10+0 f=0.17 book8                     1   13.9    1.1    64.8   1354    1734
10+0 f=0.17 book12                    1   14.1    1.2    64.3   1441    1792
10+0 f=0.17 off14                     0   10.3    0.0    57.8   1654    2057
10+0 f=0.17 off40                     0   16.1    0.0    66.4   1407    1797
DONE
