cell                               inbook  inst%  prem%  sub2s%   p50    gmean
1+0 f=1.00 book8                      1   18.1    0.0    46.4   2130    2596
1+0 f=1.00 book12                     1   21.1    0.0    47.4   2124    2546
1+0 f=1.00 off14                      0   11.0    0.0    37.9   2564    2952
1+0 f=1.00 off40                      0   17.4    0.0    46.6   2159    2630
1+0 f=0.80 book8                      1   17.6    0.0    45.0   2233    2604
1+0 f=0.80 book12                     1   23.9    0.0    49.9   2019    2396
1+0 f=0.80 off14                      0   11.2    0.0    39.4   2570    2920
1+0 f=0.80 off40                      0   17.0    0.0    47.6   2117    2594
1+0 f=0.50 book8                      1   19.1    0.0    60.5   1620    1919
1+0 f=0.50 book12                     1   32.5    0.0    71.5   1308    1660
1+0 f=0.50 off14                      0   14.6    0.0    53.4   1901    2145
1+0 f=0.50 off40                      0   30.8    0.0    69.5   1328    1680
1+0 f=0.33 book8                      1   39.1    0.0    65.0   1276    1483
1+0 f=0.33 book12                     1   65.7    0.0    84.2   1103    1222
1+0 f=0.33 off14                      0   29.4    0.0    59.1   1443    1538
1+0 f=0.33 off40                      0   47.0    0.0    73.6   1132    1325
1+0 f=0.17 book8                      1   49.4    0.0   100.0   1116    1081
1+0 f=0.17 book12                     1   75.3    0.0   100.0   1051    1043
1+0 f=0.17 off14                      0   40.8    0.0   100.0   1064    1042
1+0 f=0.17 off40                      0   55.0    0.0   100.0    976     986
3+0 f=1.00 book8                      1   32.8    0.0    67.9   1438    1752
3+0 f=1.00 book12                     1    1.4    0.0     4.4   9490    9708
3+0 f=1.00 off14                      0   16.6    0.0    49.1   2025    2680
3+0 f=1.00 off40                      0   14.1    0.0    47.0   2132    2920
3+0 f=0.80 book8                      1   11.1    0.0    36.3   2761    3101
3+0 f=0.80 book12                     1    5.0    0.0    27.8   3366    3609
3+0 f=0.80 off14                      0    5.0    0.0    29.0   3198    3473
3+0 f=0.80 off40                      0    4.3    0.0    23.4   3483    3860
3+0 f=0.50 book8                      1   16.9    0.0    55.5   1765    2184
3+0 f=0.50 book12                     1   17.1    0.0    53.3   1879    2284
3+0 f=0.50 off14                      0   10.2    0.0    43.0   2317    2767
3+0 f=0.50 off40                      0   17.5    0.0    53.4   1859    2346
3+0 f=0.33 book8                      1   16.5    0.0    61.9   1535    1935
3+0 f=0.33 book12                     1   21.4    0.0    65.0   1458    1870
3+0 f=0.33 off14                      0   12.8    0.0    55.0   1799    2163
3+0 f=0.33 off40                      0   22.0    0.0    63.8   1447    1929
3+0 f=0.17 book8                      1   19.1    0.0    73.5   1243    1510
3+0 f=0.17 book12                     1   34.1    0.0    80.8   1126    1370
3+0 f=0.17 off14                      0   14.7    0.0    67.6   1355    1653
3+0 f=0.17 off40                      0   34.4    0.0    80.5   1091    1359
10+0 f=1.00 book8                     1   15.1    0.0    45.8   2161    2318
10+0 f=1.00 book12                    1   10.9    0.0    54.8   1840    2056
10+0 f=1.00 off14                     0   17.1    0.0    51.1   1963    2206
10+0 f=1.00 off40                     0   10.4    0.0    44.4   2219    2378
10+0 f=0.80 book8                     1   25.9    0.0    56.4   1745    2021
10+0 f=0.80 book12                    1   17.9    0.0    62.0   1623    1858
10+0 f=0.80 off14                     0   18.2    0.0    58.1   1765    1994
10+0 f=0.80 off40                     0   18.1    0.0    57.3   1795    1980
10+0 f=0.50 book8                     1   29.4    0.0    72.2   1300    1577
10+0 f=0.50 book12                    1   32.6    0.0    80.0   1171    1506
10+0 f=0.50 off14                     0   29.6    0.0    71.1   1314    1654
10+0 f=0.50 off40                     0   30.4    0.0    80.3   1198    1377
10+0 f=0.33 book8                     1   10.8    0.0    68.3   1413    1640
10+0 f=0.33 book12                    1   13.4    0.0    71.3   1346    1627
10+0 f=0.33 off14                     0    9.0    0.0    61.6   1598    1837
10+0 f=0.33 off40                     0   11.3    0.0    66.8   1412    1686
10+0 f=0.17 book8                     1   14.1    0.0    66.2   1360    1741
10+0 f=0.17 book12                    1   15.7    0.0    62.3   1522    1900
10+0 f=0.17 off14                     0   10.3    0.0    57.8   1654    2057
10+0 f=0.17 off40                     0   16.1    0.0    66.4   1407    1797
DONE
