
### 1+0 trajectory (G=150 games, 40 own moves, clock drains to 5 %)
k  ply clock_s  inst%  prem%  sub2s%    p50   gmean
 0   0    60.0   32.7    0.0    69.3   1430    1700
 1   2    58.5   34.7    0.0    66.0   1405    1769
 2   4    57.1   12.0    0.0    50.0   2025    2549
 3   6    55.6   34.7    0.0    53.3   1895    2345
 4   8    54.2   16.7    0.0    40.0   2409    2636
 5  10    52.7   10.7    0.0    40.7   2358    2814
 6  12    51.2   18.7    0.0    46.7   2239    2398
 7  14    49.8   12.0    0.0    32.7   3133    3373
 8  16    48.3   19.3    0.0    47.3   2112    2519
 9  18    46.8   22.0    0.0    49.3   2062    2656
10  20    45.4   24.7    0.0    54.0   1865    2189
11  22    43.9   25.3    0.0    61.3   1602    2103
12  24    42.5   22.7    0.0    56.0   1806    2357
13  26    41.0   32.7    0.0    61.3   1568    2067
14  28    39.5   26.0    0.0    60.7   1624    2005
15  30    38.1   26.7    0.0    54.7   1710    2097
16  32    36.6   20.7    0.0    54.7   1777    2243
17  34    35.2   24.0    0.0    64.0   1526    1955
18  36    33.7   29.3    0.0    66.7   1432    1909
19  38    32.2   32.0    0.0    67.3   1245    1788
20  40    30.8   36.0    0.0    68.0   1282    1658
21  42    29.3   33.3    0.0    70.0   1273    1521
22  44    27.8   37.3    0.0    77.3   1166    1385
23  46    26.4   41.3    0.0    78.7   1185    1372
24  48    24.9   40.7    0.0    82.7   1187    1336
25  50    23.5   38.7    0.0    85.3   1146    1269
26  52    22.0   39.3    0.0    82.7   1129    1243
27  54    20.5   40.7    0.0    82.0   1101    1235
28  56    19.1   43.3    0.0    82.7   1061    1206
29  58    17.6   42.0    0.0    84.0   1088    1207
30  60    16.2   43.3    0.0    91.3   1105    1175
31  62    14.7   45.3    0.0    94.7   1065    1099
32  64    13.2   44.7    0.0   100.0   1061    1089
33  66    11.8   49.3    0.0   100.0   1064    1087
34  68    10.3   48.0    0.0   100.0    967     985
35  70     8.8   49.3    0.0   100.0    946     923
36  72     7.4   45.3    0.0   100.0    887     867
37  74     5.9   52.7    0.0   100.0    787     767
38  76     4.5   50.0    0.0   100.0    598     590
39  78     3.0   46.0    0.0   100.0    396     393

### 3+0 trajectory (G=150 games, 40 own moves, clock drains to 5 %)
k  ply clock_s  inst%  prem%  sub2s%    p50   gmean
 0   0   180.0   30.7    0.0    72.0   1527    1570
 1   2   175.6   26.0    0.0    72.7   1444    1570
 2   4   171.2    2.7    0.0    35.3   2356    2727
 3   6   166.8   14.0    0.0    33.3   2504    2758
 4   8   162.5    7.3    0.0    32.7   2839    3090
 5  10   158.1    2.7    0.0    34.0   2754    2872
 6  12   153.7    2.7    0.0    24.0   3528    3613
 7  14   149.3    5.3    0.0    34.7   2855    3446
 8  16   144.9    5.3    0.0    26.0   3310    3405
 9  18   140.5    4.0    0.0    24.7   3088    3302
10  20   136.2    8.0    0.0    28.7   3531    3756
11  22   131.8    9.3    0.0    33.3   2824    3177
12  24   127.4   14.7    0.0    40.0   2488    2827
13  26   123.0   14.0    0.0    40.7   2530    2951
14  28   118.6   16.0    0.0    44.0   2294    2650
15  30   114.2    9.3    0.0    32.0   2633    2988
16  32   109.8   10.0    0.0    49.3   2121    2477
17  34   105.5   23.3    0.0    50.0   2028    2465
18  36   101.1   21.3    0.0    56.7   1838    2348
19  38    96.7   15.3    0.0    49.3   2035    2451
20  40    92.3   16.7    0.0    51.3   1955    2507
21  42    87.9   20.7    0.0    47.3   2062    2546
22  44    83.5   24.0    0.0    54.7   1742    2242
23  46    79.2   13.3    0.0    54.7   1822    2150
24  48    74.8   13.3    0.0    55.3   1818    2206
25  50    70.4   16.0    0.0    61.3   1588    1916
26  52    66.0   20.0    0.0    69.3   1354    1732
27  54    61.6   16.7    0.0    54.7   1813    2189
28  56    57.2   17.3    0.0    62.0   1579    2017
29  58    52.8   24.7    0.0    67.3   1315    1839
30  60    48.5   24.7    0.0    72.0   1415    1693
31  62    44.1   29.3    0.0    73.3   1167    1640
32  64    39.7   26.0    0.0    74.7   1195    1511
33  66    35.3   24.0    0.0    66.0   1333    1799
34  68    30.9   36.7    0.0    84.0   1071    1298
35  70    26.5   38.0    0.0    85.3   1091    1213
36  72    22.2   47.3    0.0    87.3   1017    1124
37  74    17.8   46.7    0.0    95.3   1041    1089
38  76    13.4   40.0    0.0    99.3    970    1027
39  78     9.0   48.7    0.0   100.0    955     937

### 10+0 trajectory (G=150 games, 40 own moves, clock drains to 5 %)
k  ply clock_s  inst%  prem%  sub2s%    p50   gmean
 0   0   600.0   70.0    0.0    88.7   1138    1270
 1   2   585.4   50.7    0.0    74.0   1254    1509
 2   4   570.8    8.7    0.0    49.3   2019    2286
 3   6   556.2   42.7    0.0    63.3   1396    1658
 4   8   541.5   14.7    0.0    43.3   2331    2446
 5  10   526.9   10.7    0.0    54.7   1885    2022
 6  12   512.3   12.0    0.0    58.7   1698    2036
 7  14   497.7   32.7    0.0    57.3   1665    2005
 8  16   483.1   24.0    0.0    58.0   1741    1954
 9  18   468.5   15.3    0.0    60.0   1739    2053
10  20   453.8   22.7    0.0    59.3   1815    1864
11  22   439.2   22.7    0.0    60.7   1653    1829
12  24   424.6   18.0    0.0    42.7   2505    2441
13  26   410.0    2.7    0.0    26.0   3324    3291
14  28   395.4    0.7    0.0    15.3   3970    4004
15  30   380.8    0.7    0.0     8.7   4429    4851
16  32   366.2    2.7    0.0    20.0   3581    3827
17  34   351.5    2.7    0.0    28.7   3090    3299
18  36   336.9    2.0    0.0    36.7   2663    2831
19  38   322.3    3.3    0.0    42.0   2337    2641
20  40   307.7    6.7    0.0    40.7   2422    2688
21  42   293.1    6.7    0.0    67.3   1440    1653
22  44   278.5    0.0    0.0    26.0   3229    3326
23  46   263.8    0.7    0.0    26.0   3660    3683
24  48   249.2    3.3    0.0    26.7   3355    3545
25  50   234.6    5.3    0.0    47.3   2074    2160
26  52   220.0    4.0    0.0    58.0   1807    2015
27  54   205.4    8.7    0.0    63.3   1449    1888
28  56   190.8   17.3    0.0    72.7   1372    1686
29  58   176.2   20.0    0.0    90.7   1120    1204
30  60   161.5    1.3    0.0    54.0   1856    2069
31  62   146.9    7.3    0.0    46.0   2192    2457
32  64   132.3   12.7    0.0    53.3   1918    2259
33  66   117.7   11.3    0.0    62.0   1692    2183
34  68   103.1   12.7    0.0    66.7   1338    1827
35  70    88.5   10.7    0.0    53.3   1852    2343
36  72    73.8   24.7    0.0    69.3   1258    1674
37  74    59.2   30.7    0.0    76.0   1168    1553
38  76    44.6   26.7    0.0    78.7   1177    1483
39  78    30.0   37.3    0.0    86.0   1099    1352
DONE
