cell                               inbook  inst%  prem%  sub2s%   p50    gmean
1+0 f=1.00 book8                      1    6.3   11.9    46.8   2190    2081
1+0 f=1.00 book12                     1    8.8   13.3    50.0   2007    1880
1+0 f=1.00 off14                      0    0.0    0.0    31.6   2833    3333
1+0 f=1.00 off40                      0    0.0    0.0    36.1   2668    3236
1+0 f=0.80 book8                      1    6.9   10.7    44.9   2206    2113
1+0 f=0.80 book12                     1   10.1   14.5    51.9   1934    1751
1+0 f=0.80 off14                      0    0.0    0.0    32.3   2778    3317
1+0 f=0.80 off40                      0    0.0    0.0    37.0   2539    3123
1+0 f=0.50 book8                      1    7.7   12.7    50.3   1990    1762
1+0 f=0.50 book12                     1   12.6   18.3    63.0   1517    1334
1+0 f=0.50 off14                      0    0.0    0.0    33.6   2615    2898
1+0 f=0.50 off40                      0    0.0    0.0    43.3   2195    2529
1+0 f=0.33 book8                      1   10.1   15.4    65.4   1372    1111
1+0 f=0.33 book12                     1   16.9   25.0    82.7   1081     785
1+0 f=0.33 off14                      0    0.0    0.0    46.3   2174    1851
1+0 f=0.33 off40                      0    0.0    0.0    55.9   1803    1698
1+0 f=0.17 book8                      1    8.2   24.4   100.0    963     637
1+0 f=0.17 book12                     1   12.2   36.5   100.0    794     464
1+0 f=0.17 off14                      0    0.0    0.0   100.0   1177    1107
1+0 f=0.17 off40                      0    0.0    0.0   100.0   1128    1061
3+0 f=1.00 book8                      1   26.6    7.6    68.4   1423    1496
3+0 f=1.00 book12                     1    1.3    0.3     4.8   9689    9683
3+0 f=1.00 off14                      0    0.0    0.0    38.3   2560    3239
3+0 f=1.00 off40                      0    0.0    0.0    39.5   2633    3348
3+0 f=0.80 book8                      1    7.3    2.4    35.3   2868    3007
3+0 f=0.80 book12                     1    3.9    1.2    28.1   3245    3482
3+0 f=0.80 off14                      0    0.0    0.0    25.4   3336    3700
3+0 f=0.80 off40                      0    0.0    0.0    20.5   3504    3967
3+0 f=0.50 book8                      1   11.4    3.6    45.4   2243    2498
3+0 f=0.50 book12                     1   13.3    4.5    43.5   2278    2487
3+0 f=0.50 off14                      0    0.0    0.0    27.3   3192    3713
3+0 f=0.50 off40                      0    0.0    0.0    31.6   2786    3402
3+0 f=0.33 book8                      1   12.5    3.7    46.5   2150    2364
3+0 f=0.33 book12                     1   15.9    5.1    48.5   2038    2226
3+0 f=0.33 off14                      0    0.0    0.0    30.1   2983    3441
3+0 f=0.33 off40                      0    0.0    0.0    34.3   2769    3395
3+0 f=0.17 book8                      1   14.8    4.4    52.2   1936    2058
3+0 f=0.17 book12                     1   24.3    7.5    60.7   1586    1685
3+0 f=0.17 off14                      0    0.0    0.0    35.0   2543    2883
3+0 f=0.17 off40                      0    0.0    0.0    42.8   2239    2575
10+0 f=1.00 book8                     1   14.6    0.7    45.7   2180    2322
10+0 f=1.00 book12                    1   10.1    0.6    55.5   1845    2038
10+0 f=1.00 off14                     0    0.0    0.0    39.7   2391    2593
10+0 f=1.00 off40                     0    0.0    0.0    39.2   2391    2561
10+0 f=0.80 book8                     1   24.1    1.7    57.1   1717    1952
10+0 f=0.80 book12                    1   17.7    1.4    63.3   1620    1801
10+0 f=0.80 off14                     0    0.0    0.0    46.8   2111    2333
10+0 f=0.80 off40                     0    0.0    0.0    49.0   2020    2215
10+0 f=0.50 book8                     1   27.9    2.1    63.0   1523    1773
10+0 f=0.50 book12                    1   28.6    2.1    72.7   1368    1689
10+0 f=0.50 off14                     0    0.0    0.0    46.0   2137    2473
10+0 f=0.50 off40                     0    0.0    0.0    62.6   1694    1884
10+0 f=0.33 book8                     1    9.8    0.8    49.8   2008    2171
10+0 f=0.33 book12                    1   11.4    1.1    53.6   1881    2156
10+0 f=0.33 off14                     0    0.0    0.0    34.7   2562    2866
10+0 f=0.33 off40                     0    0.0    0.0    42.4   2246    2529
10+0 f=0.17 book8                     1   13.5    1.1    42.3   2338    2747
10+0 f=0.17 book12                    1   14.3    1.1    40.1   2507    2825
10+0 f=0.17 off14                     0    0.0    0.0    28.1   3212    3640
10+0 f=0.17 off40                     0    0.0    0.0    31.2   2794    3478
