cell                               inbook  inst%  prem%  sub2s%   p50    gmean
1+0 f=1.00 book8                      1   11.2    0.0    41.0   2434    2816
1+0 f=1.00 book12                     1   13.2    0.0    43.8   2265    2714
1+0 f=1.00 off14                      0    2.2    0.0    31.6   2861    3339
1+0 f=1.00 off40                      0    2.3    0.0    37.6   2575    3147
1+0 f=0.80 book8                      1   10.7    0.0    42.4   2319    2723
1+0 f=0.80 book12                     1   14.4    0.0    46.1   2166    2604
1+0 f=0.80 off14                      0    2.0    0.0    33.8   2716    3198
1+0 f=0.80 off40                      0    2.5    0.0    38.7   2452    3059
1+0 f=0.50 book8                      1   12.3    0.0    56.1   1773    2058
1+0 f=0.50 book12                     1   18.9    0.0    64.3   1516    1831
1+0 f=0.50 off14                      0    3.4    0.0    49.0   2030    2296
1+0 f=0.50 off40                      0    2.6    0.0    57.0   1754    2048
1+0 f=0.33 book8                      1   27.5    0.0    60.0   1453    1579
1+0 f=0.33 book12                     1   46.8    0.0    75.8   1180    1357
1+0 f=0.33 off14                      0    6.0    0.0    52.3   1912    1724
1+0 f=0.33 off40                      0    4.7    0.0    60.6   1537    1572
1+0 f=0.17 book8                      1   42.3    0.0   100.0   1148    1102
1+0 f=0.17 book12                     1   63.9    0.0   100.0   1088    1071
1+0 f=0.17 off14                      0    0.6    0.0   100.0   1179    1109
1+0 f=0.17 off40                      0    1.1    0.0   100.0   1127    1056
3+0 f=1.00 book8                      1    9.7    0.0    55.1   1853    2065
3+0 f=1.00 book12                     1    1.6    0.0     4.7   9626    9800
3+0 f=1.00 off14                      0    2.4    0.0    41.6   2417    3169
3+0 f=1.00 off40                      0    1.9    0.0    41.0   2543    3298
3+0 f=0.80 book8                      1    4.3    0.0    32.8   2876    3263
3+0 f=0.80 book12                     1    3.0    0.0    25.4   3423    3750
3+0 f=0.80 off14                      0    1.8    0.0    27.9   3210    3560
3+0 f=0.80 off40                      0    3.1    0.0    21.3   3574    3956
3+0 f=0.50 book8                      1    6.8    0.0    48.8   2047    2490
3+0 f=0.50 book12                     1    7.8    0.0    49.2   2041    2457
3+0 f=0.50 off14                      0    4.7    0.0    41.6   2366    2825
3+0 f=0.50 off40                      0    5.3    0.0    46.7   2133    2609
3+0 f=0.33 book8                      1    7.5    0.0    57.1   1691    2067
3+0 f=0.33 book12                     1    8.2    0.0    58.2   1689    2107
3+0 f=0.33 off14                      0    4.3    0.0    51.6   1949    2328
3+0 f=0.33 off40                      0    4.5    0.0    56.1   1751    2212
3+0 f=0.17 book8                      1    6.6    0.0    68.3   1331    1623
3+0 f=0.17 book12                     1   10.5    0.0    73.8   1270    1530
3+0 f=0.17 off14                      0    3.7    0.0    65.0   1490    1752
3+0 f=0.17 off40                      0    3.0    0.0    72.3   1266    1572
10+0 f=1.00 book8                     1    2.5    0.0    35.9   2528    2737
10+0 f=1.00 book12                    1    1.8    0.0    51.3   1968    2204
10+0 f=1.00 off14                     0    2.0    0.0    41.2   2342    2568
10+0 f=1.00 off40                     0    2.1    0.0    40.4   2359    2494
10+0 f=0.80 book8                     1    3.7    0.0    44.6   2195    2457
10+0 f=0.80 book12                    1    2.3    0.0    56.5   1810    2038
10+0 f=0.80 off14                     0    2.0    0.0    47.5   2100    2317
10+0 f=0.80 off40                     0    1.4    0.0    49.1   2014    2181
10+0 f=0.50 book8                     1    4.3    0.0    61.9   1615    1847
10+0 f=0.50 book12                    1    3.8    0.0    70.8   1394    1814
10+0 f=0.50 off14                     0    2.1    0.0    61.5   1669    1965
10+0 f=0.50 off40                     0    1.3    0.0    77.0   1344    1541
10+0 f=0.33 book8                     1    2.8    0.0    64.0   1548    1773
10+0 f=0.33 book12                    1    1.4    0.0    68.7   1441    1731
10+0 f=0.33 off14                     0    1.6    0.0    58.8   1715    1921
10+0 f=0.33 off40                     0    1.4    0.0    64.8   1527    1772
10+0 f=0.17 book8                     1    6.5    0.0    62.6   1523    1871
10+0 f=0.17 book12                    1    6.1    0.0    60.3   1621    1966
10+0 f=0.17 off14                     0    5.5    0.0    55.5   1750    2080
10+0 f=0.17 off40                     0    6.5    0.0    60.1   1612    2006
