cell                               inbook  inst%  prem%  sub2s%   p50    gmean
1+0 f=1.00 book8                      1    0.7   12.2    41.5   2403    2219
1+0 f=1.00 book12                     1    0.8   12.6    42.3   2288    2150
1+0 f=1.00 off14                      0    2.2    0.0    31.6   2861    3339
1+0 f=1.00 off40                      0    2.3    0.0    37.6   2575    3147
1+0 f=0.80 book8                      1    0.9   10.8    40.9   2416    2287
1+0 f=0.80 book12                     1    0.6   11.1    44.4   2243    2113
1+0 f=0.80 off14                      0    2.0    0.0    33.8   2716    3198
1+0 f=0.80 off40                      0    2.5    0.0    38.7   2452    3059
1+0 f=0.50 book8                      1    1.1   12.4    57.9   1709    1541
1+0 f=0.50 book12                     1    0.9   19.2    65.3   1463    1240
1+0 f=0.50 off14                      0    3.4    0.0    49.0   2030    2296
1+0 f=0.50 off40                      0    2.6    0.0    57.0   1754    2048
1+0 f=0.33 book8                      1    1.8   14.7    64.5   1398    1129
1+0 f=0.33 book12                     1    0.5   25.6    83.3   1063     760
1+0 f=0.33 off14                      0    6.0    0.0    52.3   1912    1724
1+0 f=0.33 off40                      0    4.7    0.0    60.6   1537    1572
1+0 f=0.17 book8                      1    0.2   24.1   100.0   1018     652
1+0 f=0.17 book12                     1    0.2   37.5   100.0    789     455
1+0 f=0.17 off14                      0    0.6    0.0   100.0   1179    1109
1+0 f=0.17 off40                      0    1.1    0.0   100.0   1127    1056
3+0 f=1.00 book8                      1    1.1    8.3    56.0   1832    1741
3+0 f=1.00 book12                     1    1.3    0.3     4.8   9689    9683
3+0 f=1.00 off14                      0    2.4    0.0    41.6   2417    3169
3+0 f=1.00 off40                      0    1.9    0.0    41.0   2543    3298
3+0 f=0.80 book8                      1    1.6    2.5    31.7   2930    3176
3+0 f=0.80 book12                     1    1.0    1.3    26.3   3342    3542
3+0 f=0.80 off14                      0    1.8    0.0    27.9   3210    3560
3+0 f=0.80 off40                      0    3.1    0.0    21.3   3574    3956
3+0 f=0.50 book8                      1    2.4    3.9    49.7   2012    2279
3+0 f=0.50 book12                     1    3.4    4.5    48.5   2059    2234
3+0 f=0.50 off14                      0    4.7    0.0    41.6   2366    2825
3+0 f=0.50 off40                      0    5.3    0.0    46.7   2133    2609
3+0 f=0.33 book8                      1    1.9    4.6    58.8   1667    1876
3+0 f=0.33 book12                     1    2.2    6.1    59.4   1669    1852
3+0 f=0.33 off14                      0    4.3    0.0    51.6   1949    2328
3+0 f=0.33 off40                      0    4.5    0.0    56.1   1751    2212
3+0 f=0.17 book8                      1    2.4    4.0    68.3   1329    1475
3+0 f=0.17 book12                     1    2.1    8.2    73.2   1237    1305
3+0 f=0.17 off14                      0    3.7    0.0    65.0   1490    1752
3+0 f=0.17 off40                      0    3.0    0.0    72.3   1266    1572
10+0 f=1.00 book8                     1    1.8    0.6    37.3   2437    2658
10+0 f=1.00 book12                    1    0.7    0.8    51.0   1968    2176
10+0 f=1.00 off14                     0    2.0    0.0    41.2   2342    2568
10+0 f=1.00 off40                     0    2.1    0.0    40.4   2359    2494
10+0 f=0.80 book8                     1    1.1    1.9    45.6   2185    2347
10+0 f=0.80 book12                    1    0.9    1.4    54.5   1879    2038
10+0 f=0.80 off14                     0    2.0    0.0    47.5   2100    2317
10+0 f=0.80 off40                     0    1.4    0.0    49.1   2014    2181
10+0 f=0.50 book8                     1    1.8    1.8    61.0   1626    1808
10+0 f=0.50 book12                    1    1.4    2.0    69.5   1401    1743
10+0 f=0.50 off14                     0    2.1    0.0    61.5   1669    1965
10+0 f=0.50 off40                     0    1.3    0.0    77.0   1344    1541
10+0 f=0.33 book8                     1    1.9    1.3    64.1   1542    1712
10+0 f=0.33 book12                    1    1.3    0.7    68.0   1429    1696
10+0 f=0.33 off14                     0    1.6    0.0    58.8   1715    1921
10+0 f=0.33 off40                     0    1.4    0.0    64.8   1527    1772
10+0 f=0.17 book8                     1    6.0    1.2    62.8   1510    1830
10+0 f=0.17 book12                    1    4.5    1.2    61.5   1599    1908
10+0 f=0.17 off14                     0    5.5    0.0    55.5   1750    2080
10+0 f=0.17 off40                     0    6.5    0.0    60.1   1612    2006
DONE
