cell                               inbook  inst%  prem%  sub2s%   p50    gmean
1+0 f=1.00 book8                      1   18.1    0.0    46.4   2130    2596
1+0 f=1.00 book12                     1   21.1    0.0    47.4   2124    2546
1+0 f=1.00 off14                      0   12.3    0.0    39.1   2512    2882
1+0 f=1.00 off40                      0   22.1    0.0    48.0   2092    2604
1+0 f=0.80 book8                      1   17.6    0.0    45.0   2233    2604
1+0 f=0.80 book12                     1   23.9    0.0    49.9   2019    2396
1+0 f=0.80 off14                      0   12.4    0.0    39.8   2554    2887
1+0 f=0.80 off40                      0   25.4    0.0    49.7   2017    2471
1+0 f=0.50 book8                      1   19.1    0.0    60.5   1620    1919
1+0 f=0.50 book12                     1   32.5    0.0    71.5   1308    1660
1+0 f=0.50 off14                      0   14.9    0.0    54.1   1852    2114
1+0 f=0.50 off40                      0   34.0    0.0    71.5   1284    1641
1+0 f=0.33 book8                      1   39.1    0.0    65.0   1276    1483
1+0 f=0.33 book12                     1   65.7    0.0    84.2   1103    1222
1+0 f=0.33 off14                      0   28.3    0.0    59.3   1449    1542
1+0 f=0.33 off40                      0   62.8    0.0    81.5   1074    1216
1+0 f=0.17 book8                      1   49.4    0.0   100.0   1116    1081
1+0 f=0.17 book12                     1   75.3    0.0   100.0   1051    1043
1+0 f=0.17 off14                      0   41.5    0.0   100.0   1064    1038
1+0 f=0.17 off40                      0   73.3    0.0   100.0    947     964
3+0 f=1.00 book8                      1   32.8    0.0    67.9   1438    1752
3+0 f=1.00 book12                     1    1.4    0.0     4.4   9490    9708
3+0 f=1.00 off14                      0   45.3    0.0    65.5   1317    1978
3+0 f=1.00 off40                      0   16.4    0.0    49.0   2060    2767
3+0 f=0.80 book8                      1   11.1    0.0    36.3   2761    3101
3+0 f=0.80 book12                     1    5.0    0.0    27.8   3366    3609
3+0 f=0.80 off14                      0    5.3    0.0    28.8   3214    3514
3+0 f=0.80 off40                      0    4.3    0.0    23.4   3483    3860
3+0 f=0.50 book8                      1   16.9    0.0    55.5   1765    2184
3+0 f=0.50 book12                     1   17.1    0.0    53.3   1879    2284
3+0 f=0.50 off14                      0   10.2    0.0    43.5   2283    2742
3+0 f=0.50 off40                      0   18.1    0.0    53.5   1858    2338
3+0 f=0.33 book8                      1   16.5    0.0    61.9   1535    1935
3+0 f=0.33 book12                     1   21.4    0.0    65.0   1458    1870
3+0 f=0.33 off14                      0   12.7    0.0    55.5   1787    2152
3+0 f=0.33 off40                      0   22.3    0.0    64.5   1420    1909
3+0 f=0.17 book8                      1   19.1    0.0    73.5   1243    1510
3+0 f=0.17 book12                     1   34.1    0.0    80.8   1126    1370
3+0 f=0.17 off14                      0   14.7    0.0    67.5   1354    1660
3+0 f=0.17 off40                      0   35.5    0.0    80.2   1085    1351
10+0 f=1.00 book8                     1   15.1    0.0    45.8   2161    2318
10+0 f=1.00 book12                    1   10.9    0.0    54.8   1840    2056
10+0 f=1.00 off14                     0   20.2    0.0    53.3   1857    2137
10+0 f=1.00 off40                     0   10.8    0.0    45.1   2167    2328
10+0 f=0.80 book8                     1   25.9    0.0    56.4   1745    2021
10+0 f=0.80 book12                    1   17.9    0.0    62.0   1623    1858
10+0 f=0.80 off14                     0   41.8    0.0    69.7   1333    1661
10+0 f=0.80 off40                     0   24.4    0.0    60.6   1634    1874
10+0 f=0.50 book8                     1   29.4    0.0    72.2   1300    1577
10+0 f=0.50 book12                    1   32.6    0.0    80.0   1171    1506
10+0 f=0.50 off14                     0   31.4    0.0    71.9   1273    1622
10+0 f=0.50 off40                     0   37.9    0.0    83.5   1154    1335
10+0 f=0.33 book8                     1   10.8    0.0    68.3   1413    1640
10+0 f=0.33 book12                    1   13.4    0.0    71.3   1346    1627
10+0 f=0.33 off14                     0    8.8    0.0    62.3   1627    1824
10+0 f=0.33 off40                     0   11.9    0.0    67.1   1420    1680
10+0 f=0.17 book8                     1   14.1    0.0    66.2   1360    1741
10+0 f=0.17 book12                    1   15.7    0.0    62.3   1522    1900
10+0 f=0.17 off14                     0   10.3    0.0    57.8   1654    2057
10+0 f=0.17 off40                     0   16.6    0.0    66.7   1402    1800
DONE
