
### 1+0 trajectory (G=300 games, 40 own moves, clock drains to 5 %)
k  ply clock_s  inst%  prem%  sub2s%    p50   gmean
 0   0    60.0   16.3   24.7    75.3   1229     957
 1   2    58.5   16.0   22.3    70.0   1309    1077
 2   4    57.1    3.0    4.7    42.7   2258    2491
 3   6    55.6   14.3   22.7    57.0   1583    1402
 4   8    54.2    6.0   11.7    43.7   2382    2190
 5  10    52.7    5.7    5.7    36.3   2549    2706
 6  12    51.2   10.7   15.7    52.3   1852    1778
 7  14    49.8    6.7    6.7    37.7   2606    2697
 8  16    48.3    0.0    0.0    33.7   2629    3127
 9  18    46.8    0.0    0.0    33.7   2852    3372
10  20    45.4    0.0    0.0    36.7   2680    3276
11  22    43.9    0.0    0.0    38.7   2489    3003
12  24    42.5    0.0    0.0    33.7   2892    3347
13  26    41.0    0.0    0.0    33.0   2717    3212
14  28    39.5    0.0    0.0    33.7   2616    3054
15  30    38.1    0.0    0.0    30.0   2739    3153
16  32    36.6    0.0    0.0    37.0   2524    2896
17  34    35.2    0.0    0.0    30.3   2724    3112
18  36    33.7    0.0    0.0    39.0   2281    2752
19  38    32.2    0.0    0.0    42.0   2414    2745
20  40    30.8    0.0    0.0    42.0   2355    2756
21  42    29.3    0.0    0.0    44.7   2161    2130
22  44    27.8    0.0    0.0    47.7   2079    2080
23  46    26.4    0.0    0.0    53.0   1929    1968
24  48    24.9    0.0    0.0    55.0   1904    1892
25  50    23.5    0.0    0.0    59.3   1790    1804
26  52    22.0    0.0    0.0    63.3   1582    1628
27  54    20.5    0.0    0.0    65.0   1624    1636
28  56    19.1    0.0    0.0    66.0   1571    1549
29  58    17.6    0.0    0.0    73.3   1429    1448
30  60    16.2    0.0    0.0    79.7   1376    1370
31  62    14.7    0.0    0.0    91.3   1275    1281
32  64    13.2    0.0    0.0   100.0   1214    1225
33  66    11.8    0.0    0.0   100.0   1119    1126
34  68    10.3    0.0    0.0   100.0   1069    1057
35  70     8.8    0.0    0.0   100.0    964     947
36  72     7.4    0.0    0.0   100.0    870     852
37  74     5.9    0.0    0.0   100.0    762     756
38  76     4.5    0.0    0.0   100.0    595     589
39  78     3.0    0.0    0.0   100.0    393     392

### 3+0 trajectory (G=300 games, 40 own moves, clock drains to 5 %)
k  ply clock_s  inst%  prem%  sub2s%    p50   gmean
 0   0   180.0   21.7    5.3    74.0   1479    1393
 1   2   175.6   18.0    5.0    70.7   1530    1507
 2   4   171.2    1.7    0.0    36.7   2466    2661
 3   6   166.8   10.0    2.7    39.0   2537    2441
 4   8   162.5    6.0    2.0    35.7   2701    2725
 5  10   158.1    1.3    0.7    27.0   2777    3099
 6  12   153.7    2.3    0.7    23.3   3272    3271
 7  14   149.3    4.3    2.7    31.3   2814    3107
 8  16   144.9    0.0    0.0    24.3   3572    3802
 9  18   140.5    0.0    0.0    16.7   4047    4472
10  20   136.2    0.0    0.0    23.0   3306    3935
11  22   131.8    0.0    0.0    24.0   3420    3905
12  24   127.4    0.0    0.0    23.7   3598    4069
13  26   123.0    0.0    0.0    30.7   2939    3547
14  28   118.6    0.0    0.0    29.3   3293    3667
15  30   114.2    0.0    0.0    29.3   3171    3621
16  32   109.8    0.0    0.0    30.7   2824    3494
17  34   105.5    0.0    0.0    22.7   3586    4154
18  36   101.1    0.0    0.0    28.3   3374    3802
19  38    96.7    0.0    0.0    25.7   3169    3761
20  40    92.3    0.0    0.0    29.0   2886    3586
21  42    87.9    0.0    0.0    28.0   2839    3533
22  44    83.5    0.0    0.0    30.3   3019    3745
23  46    79.2    0.0    0.0    34.3   2730    3463
24  48    74.8    0.0    0.0    33.7   2684    3206
25  50    70.4    0.0    0.0    38.0   2603    3138
26  52    66.0    0.0    0.0    31.7   2882    3375
27  54    61.6    0.0    0.0    27.7   3026    3711
28  56    57.2    0.0    0.0    33.7   2490    3123
29  58    52.8    0.0    0.0    35.0   2787    3086
30  60    48.5    0.0    0.0    35.3   2600    3101
31  62    44.1    0.0    0.0    29.0   2786    3368
32  64    39.7    0.0    0.0    35.0   2682    2978
33  66    35.3    0.0    0.0    38.0   2484    2910
34  68    30.9    0.0    0.0    46.7   2102    2514
35  70    26.5    0.0    0.0    50.3   1993    2013
36  72    22.2    0.0    0.0    59.7   1780    1757
37  74    17.8    0.0    0.0    72.0   1415    1451
38  76    13.4    0.0    0.0    99.3   1291    1244
39  78     9.0    0.0    0.0   100.0    973     951

### 10+0 trajectory (G=300 games, 40 own moves, clock drains to 5 %)
k  ply clock_s  inst%  prem%  sub2s%    p50   gmean
 0   0   600.0   65.3    6.0    88.7   1114    1134
