
### 1+0 trajectory (G=300 games, 40 own moves, clock drains to 5 %)
k  ply clock_s  inst%  prem%  sub2s%    p50   gmean
 0   0    60.0   35.3    0.0    71.3   1405    1697
 1   2    58.5   25.0    0.0    59.7   1641    1926
 2   4    57.1    8.7    0.0    42.3   2297    2666
 3   6    55.6   23.0    0.0    46.0   2269    2652
 4   8    54.2   11.3    0.0    39.0   2524    2829
 5  10    52.7    8.0    0.0    34.0   2902    3161
 6  12    51.2   15.0    0.0    41.0   2320    2673
 7  14    49.8    7.0    0.0    31.3   3017    3309
 8  16    48.3    1.3    0.0    34.0   2635    3181
 9  18    46.8    3.7    0.0    37.7   2614    3197
10  20    45.4    3.3    0.0    44.0   2231    2777
11  22    43.9    2.0    0.0    40.3   2382    2824
12  24    42.5    4.0    0.0    38.7   2409    3049
13  26    41.0    4.0    0.0    41.0   2323    2772
14  28    39.5    5.7    0.0    43.0   2276    2716
15  30    38.1    6.0    0.0    46.7   2151    2489
16  32    36.6    8.3    0.0    50.0   2010    2372
17  34    35.2    4.0    0.0    50.7   1993    2406
18  36    33.7    8.7    0.0    56.7   1782    2086
19  38    32.2    5.0    0.0    50.7   1963    2243
20  40    30.8   10.7    0.0    60.3   1574    1938
21  42    29.3   17.3    0.0    65.7   1461    1643
22  44    27.8    8.3    0.0    59.3   1752    1774
23  46    26.4   12.0    0.0    72.7   1341    1517
24  48    24.9   13.7    0.0    70.3   1427    1519
25  50    23.5   11.3    0.0    74.3   1320    1440
26  52    22.0   14.7    0.0    75.7   1356    1406
27  54    20.5   16.7    0.0    75.7   1245    1368
28  56    19.1   18.7    0.0    78.3   1212    1325
29  58    17.6   24.7    0.0    84.0   1101    1216
30  60    16.2   22.3    0.0    89.3   1121    1196
31  62    14.7   15.7    0.0    92.0   1135    1204
32  64    13.2   15.7    0.0   100.0   1117    1157
33  66    11.8   14.0    0.0   100.0   1103    1117
34  68    10.3   15.0    0.0   100.0   1019    1018
35  70     8.8   14.7    0.0   100.0    938     921
36  72     7.4   15.7    0.0   100.0    860     851
37  74     5.9   15.3    0.0   100.0    756     750
38  76     4.5   25.0    0.0   100.0    595     590
39  78     3.0   23.0    0.0   100.0    401     395

### 3+0 trajectory (G=300 games, 40 own moves, clock drains to 5 %)
